Survived,Pclass,Sex,Age,Fare,Embarked,FamilySize,Alone
1.0,3.0,0,20.5,7.75,Queenstown,0,1
0.0,2.0,0,24.0,13.0,Southampton,0,1
0.0,3.0,1,28.0,9.5,Southampton,0,1
0.0,3.0,1,42.0,69.55,Southampton,10,0
0.0,3.0,1,39.875,6.4958,Southampton,0,1
0.0,3.0,1,45.5,7.225,Cheltenham,0,1
1.0,3.0,1,18.0,8.05,Southampton,0,1
0.0,3.0,0,23.0,10.4625,Southampton,1,0
0.0,3.0,1,27.625,15.85,Southampton,1,0
1.0,3.0,1,26.0,18.7875,Cheltenham,0,1
1.0,3.0,0,20.5,7.75,Queenstown,0,1
1.0,1.0,1,41.25,31.0,Cheltenham,0,1
0.0,3.0,1,24.0,7.05,Southampton,0,1
1.0,2.0,0,35.0,21.0,Southampton,0,1
0.0,3.0,1,22.0,7.25,Southampton,0,1
0.0,2.0,1,30.0,13.0,Southampton,0,1
0.0,3.0,1,43.5,7.75,Queenstown,1,0
1.0,1.0,0,31.0,113.275,Cheltenham,1,0
1.0,3.0,0,27.0,7.925,Southampton,0,1
0.0,2.0,1,42.0,27.0,Southampton,1,0
1.0,1.0,0,32.0,76.2917,Cheltenham,0,1
0.0,2.0,1,30.0,10.5,Southampton,0,1
1.0,3.0,1,16.0,8.05,Southampton,0,1
0.0,2.0,1,27.0,13.0,Southampton,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,3.0,1,29.0,7.8958,Southampton,0,1
1.0,1.0,1,38.0,90.0,Southampton,1,0
0.0,3.0,1,22.0,9.35,Southampton,0,1
1.0,2.0,1,19.0,10.5,Southampton,0,1
0.0,3.0,1,20.5,7.25,Southampton,0,1
0.0,2.0,1,18.0,13.0,Southampton,0,1
0.0,3.0,0,28.0,25.4667,Southampton,4,0
1.0,1.0,0,35.0,83.475,Southampton,1,0
0.0,3.0,1,29.0,7.775,Southampton,0,1
0.0,2.0,1,59.0,13.5,Southampton,0,1
1.0,3.0,0,5.0,31.3875,Southampton,6,0
0.0,2.0,1,34.5,10.5,Southampton,0,1
0.0,3.0,0,28.625,7.55,Southampton,0,1
0.0,2.0,1,44.0,26.0,Southampton,1,0
1.0,2.0,0,22.25,26.25,Southampton,2,0
0.0,2.0,1,19.0,10.5,Southampton,0,1
0.0,2.0,1,48.5,12.275,Southampton,0,1
0.0,3.0,0,27.0,14.4542,Cheltenham,1,0
1.0,3.0,0,21.75,15.5,Queenstown,1,0
0.0,2.0,1,29.0,10.5,Southampton,0,1
0.0,3.0,1,22.0,7.125,Southampton,0,1
0.0,3.0,1,31.375,7.225,Cheltenham,0,1
0.0,1.0,1,44.0,90.0,Queenstown,2,0
0.0,3.0,0,25.0,7.775,Southampton,0,1
1.0,2.0,0,24.0,14.5,Southampton,2,0
1.0,1.0,1,37.0,52.5542,Southampton,2,0
0.0,2.0,1,54.0,26.0,Southampton,1,0
0.0,3.0,1,22.125,7.25,Southampton,0,1
0.0,3.0,0,29.0,10.4625,Southampton,2,0
0.0,1.0,1,62.0,26.55,Southampton,0,1
0.0,3.0,1,30.0,16.1,Southampton,1,0
0.0,3.0,0,22.0,20.2125,Southampton,2,0
1.0,3.0,0,29.0,15.2458,Cheltenham,2,0
1.0,1.0,0,39.25,79.2,Cheltenham,0,1
1.0,1.0,0,30.0,86.5,Southampton,0,1
1.0,1.0,0,35.0,512.3292,Cheltenham,0,1
1.0,2.0,0,32.75,26.0,Southampton,1,0
0.0,3.0,1,43.5,7.75,Queenstown,0,1
1.0,3.0,1,3.0,31.3875,Southampton,6,0
0.0,1.0,1,36.25,79.65,Southampton,2,0
0.0,1.0,1,40.0,0.0,Southampton,0,1
0.0,3.0,0,28.625,7.75,Queenstown,0,1
0.0,2.0,1,36.0,10.5,Southampton,0,1
0.0,3.0,1,16.0,39.6875,Southampton,5,0
1.0,3.0,1,25.0,7.775,Southampton,1,0
1.0,1.0,0,58.0,153.4625,Southampton,1,0
1.0,1.0,0,35.0,135.6333,Southampton,0,1
0.0,1.0,1,43.0,31.0,Southampton,0,1
1.0,3.0,1,25.0,0.0,Southampton,0,1
1.0,2.0,0,41.0,19.5,Southampton,1,0
0.0,1.0,1,37.0,29.7,Cheltenham,1,0
1.0,3.0,0,20.5,7.75,Queenstown,0,1
1.0,1.0,0,63.0,77.9583,Southampton,1,0
0.0,3.0,0,45.0,7.75,Southampton,0,1
0.0,2.0,1,34.0,0.0,Southampton,0,1
0.0,3.0,1,7.0,29.125,Queenstown,5,0
1.0,3.0,0,35.0,20.25,Southampton,2,0
0.0,3.0,1,65.0,7.75,Queenstown,0,1
0.0,3.0,1,28.0,7.8542,Southampton,0,1
0.0,3.0,1,16.0,9.5,Southampton,0,1
1.0,3.0,1,27.5,8.05,Southampton,0,1
0.0,1.0,1,58.75,26.0,Southampton,0,1
0.0,3.0,1,24.0,8.6625,Cheltenham,0,1
1.0,3.0,1,30.0,9.5,Southampton,0,1
0.0,3.0,1,22.0,7.8958,Southampton,0,1
1.0,2.0,1,42.0,13.0,Southampton,0,1
1.0,3.0,0,22.0,7.75,Queenstown,0,1
1.0,1.0,0,40.75,78.85,Southampton,0,1
1.0,1.0,0,35.0,91.0792,Cheltenham,1,0
0.0,2.0,1,36.0,12.875,Cheltenham,0,1
0.0,3.0,0,24.0,8.85,Southampton,0,1
0.0,3.0,1,29.0,7.8958,Southampton,0,1
0.0,1.0,1,36.125,27.7208,Cheltenham,0,1
0.0,3.0,1,23.5,7.2292,Cheltenham,0,1
0.0,1.0,0,2.0,151.55,Southampton,3,0
1.0,1.0,1,41.25,30.5,Southampton,0,1
1.0,1.0,0,23.0,247.5208,Cheltenham,1,0
1.0,3.0,0,20.5,7.75,Queenstown,0,1
1.0,3.0,1,31.75,23.25,Queenstown,2,0
0.0,3.0,1,19.0,0.0,Southampton,0,1
1.0,2.0,0,25.75,12.35,Queenstown,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
1.0,1.0,1,0.92,151.55,Southampton,3,0
1.0,1.0,0,24.0,110.8833,Cheltenham,0,1
1.0,1.0,0,17.0,108.9,Cheltenham,1,0
0.0,2.0,1,30.0,24.0,Cheltenham,1,0
1.0,1.0,0,30.0,56.9292,Cheltenham,0,1
1.0,1.0,0,24.0,83.1583,Cheltenham,0,1
1.0,1.0,0,21.75,262.375,Cheltenham,4,0
0.0,2.0,0,35.5,26.0,Southampton,2,0
0.0,3.0,1,28.0,7.8958,Southampton,0,1
0.0,2.0,1,43.0,26.25,Southampton,2,0
1.0,3.0,0,26.0,7.8542,Southampton,0,1
1.0,2.0,0,24.0,26.0,Southampton,1,0
0.0,2.0,1,44.5,14.0,Southampton,0,1
1.0,1.0,0,30.23,164.8667,Southampton,2,0
1.0,1.0,0,40.0,134.5,Cheltenham,2,0
0.0,3.0,1,22.0,7.25,Southampton,0,1
0.0,3.0,1,27.0,7.8958,Southampton,0,1
1.0,2.0,0,30.0,12.35,Queenstown,0,1
1.0,2.0,0,22.0,29.0,Southampton,2,0
0.0,3.0,1,42.0,69.55,Southampton,10,0
1.0,1.0,0,36.0,135.6333,Cheltenham,0,1
0.0,3.0,1,61.0,6.2375,Southampton,0,1
1.0,2.0,0,36.0,13.0,Southampton,0,1
1.0,3.0,0,31.0,20.525,Southampton,2,0
1.0,1.0,0,16.0,57.9792,Cheltenham,1,0
1.0,3.0,0,26.5,23.25,Queenstown,2,0
0.0,1.0,1,45.5,28.5,Southampton,0,1
0.0,1.0,1,25.23,153.4625,Southampton,1,0
0.0,3.0,1,21.5,18.0,Southampton,2,0
1.0,1.0,0,41.5,133.65,Southampton,1,0
0.0,3.0,1,29.0,7.8958,Southampton,0,1
0.0,1.0,1,29.0,66.6,Southampton,1,0
1.0,1.0,0,41.0,134.5,Cheltenham,0,1
1.0,3.0,1,45.0,8.05,Southampton,0,1
0.0,1.0,1,46.5,35.5,Southampton,0,1
1.0,2.0,1,2.0,26.0,Southampton,2,0
1.0,1.0,0,24.0,263.0,Southampton,5,0
0.0,2.0,1,27.25,13.0,Southampton,0,1
0.0,2.0,1,25.0,13.0,Southampton,0,1
0.0,2.0,1,36.0,13.0,Southampton,0,1
1.0,2.0,0,24.0,13.0,Southampton,0,1
1.0,2.0,0,40.0,13.0,Southampton,0,1
1.0,3.0,0,20.5,16.1,Southampton,1,0
1.0,3.0,1,3.0,15.9,Southampton,2,0
0.0,3.0,1,42.0,8.6625,Southampton,0,1
0.0,3.0,1,23.0,9.225,Southampton,0,1
0.0,1.0,1,54.0,35.0,Southampton,0,1
0.0,3.0,1,15.0,7.2292,Cheltenham,2,0
0.0,3.0,1,21.5,17.8,Southampton,1,0
0.0,3.0,1,31.375,7.225,Cheltenham,0,1
0.0,3.0,1,28.0,9.5,Southampton,0,1
1.0,1.0,0,30.25,55.0,Southampton,1,0
0.0,2.0,0,38.0,13.0,Southampton,0,1
1.0,3.0,0,22.75,7.8792,Queenstown,0,1
1.0,3.0,0,22.75,7.8792,Queenstown,0,1
0.0,3.0,1,40.0,27.9,Southampton,5,0
0.0,2.0,1,29.0,27.7208,Cheltenham,1,0
0.0,3.0,0,45.0,14.4542,Cheltenham,1,0
0.0,3.0,1,35.0,7.05,Southampton,0,1
0.0,3.0,1,33.125,15.5,Queenstown,1,0
0.0,3.0,1,30.0,7.25,Southampton,0,1
1.0,1.0,0,60.0,75.25,Cheltenham,1,0
1.0,3.0,0,19.0,7.2292,Cheltenham,0,1
1.0,3.0,0,20.5,7.75,Queenstown,0,1
1.0,1.0,0,42.0,69.3,Cheltenham,0,1
1.0,1.0,1,29.25,55.4417,Cheltenham,1,0
0.0,3.0,1,39.875,6.4958,Southampton,1,0
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,1.0,1,22.0,135.6333,Cheltenham,0,1
0.0,3.0,0,16.5,21.075,Southampton,4,0
1.0,1.0,0,30.75,82.1708,Cheltenham,1,0
1.0,3.0,0,22.0,7.25,Southampton,0,1
0.0,1.0,1,30.75,211.5,Cheltenham,2,0
0.0,3.0,1,20.0,4.0125,Cheltenham,0,1
0.0,3.0,1,19.0,7.775,Southampton,0,1
1.0,1.0,0,30.75,227.525,Cheltenham,0,1
1.0,3.0,0,1.0,15.7417,Cheltenham,2,0
0.0,3.0,1,32.0,7.925,Southampton,0,1
1.0,1.0,0,35.0,52.0,Southampton,1,0
0.0,3.0,1,29.0,7.8958,Southampton,0,1
0.0,2.0,1,18.0,73.5,Southampton,0,1
0.0,3.0,1,1.0,46.9,Southampton,7,0
1.0,2.0,0,36.5,13.0,Southampton,0,1
0.0,3.0,1,35.875,7.7292,Queenstown,0,1
1.0,2.0,0,17.0,12.0,Cheltenham,0,1
1.0,1.0,1,36.0,120.0,Southampton,3,0
1.0,3.0,1,21.0,7.7958,Southampton,0,1
0.0,3.0,1,28.0,7.925,Southampton,2,0
1.0,1.0,0,23.0,113.275,Cheltenham,1,0
1.0,3.0,0,24.0,16.7,Southampton,2,0
0.0,3.0,1,22.0,7.7958,Southampton,0,1
0.0,3.0,0,31.0,7.8542,Southampton,0,1
0.0,2.0,1,46.0,26.0,Southampton,0,1
0.0,2.0,1,23.0,10.5,Southampton,0,1
1.0,2.0,0,28.0,12.65,Southampton,0,1
1.0,3.0,1,34.0,7.925,Southampton,0,1
0.0,3.0,1,26.0,8.05,Southampton,0,1
0.0,3.0,0,21.0,9.825,Southampton,1,0
0.0,3.0,1,28.0,15.85,Southampton,1,0
0.0,3.0,0,20.0,8.6625,Southampton,0,1
0.0,2.0,1,34.0,21.0,Southampton,1,0
0.0,3.0,1,51.0,7.75,Southampton,0,1
1.0,2.0,1,15.9575,18.75,Southampton,2,0
0.0,3.0,1,21.0,7.775,Southampton,0,1
0.0,3.0,0,28.0,25.4667,Southampton,4,0
0.0,3.0,1,29.0,7.8958,Southampton,0,1
0.0,3.0,1,28.25,6.8583,Queenstown,0,1
1.0,1.0,0,33.0,90.0,Queenstown,1,0
0.0,2.0,1,34.0,0.0,Southampton,0,1
1.0,3.0,1,44.0,7.925,Southampton,0,1
0.0,3.0,0,24.25,8.05,Southampton,0,1
1.0,2.0,0,34.0,32.5,Southampton,2,0
1.0,2.0,0,18.0,13.0,Southampton,2,0
0.0,2.0,1,30.0,13.0,Southampton,0,1
0.0,3.0,0,10.0,24.15,Southampton,2,0
0.0,3.0,1,29.0,7.8958,Cheltenham,0,1
0.0,3.0,1,21.0,7.7333,Queenstown,0,1
0.0,3.0,1,35.75,7.875,Southampton,0,1
0.0,3.0,0,28.0,14.4,Southampton,2,0
0.0,3.0,1,19.25,20.2125,Southampton,2,0
0.0,3.0,1,22.125,7.25,Southampton,0,1
1.0,2.0,0,28.0,26.0,Southampton,1,0
1.0,2.0,0,19.0,26.0,Southampton,0,1
0.0,3.0,1,43.5,7.75,Queenstown,0,1
1.0,3.0,1,27.5,8.05,Southampton,0,1
1.0,1.0,1,41.5,26.55,Southampton,0,1
1.0,3.0,0,20.5,16.1,Southampton,1,0
1.0,2.0,0,42.0,26.0,Southampton,1,0
0.0,3.0,1,34.5,7.125,Southampton,0,1
0.0,1.0,1,29.25,55.9,Southampton,1,0
1.0,1.0,0,14.0,120.0,Southampton,3,0
0.0,3.0,0,25.25,34.375,Southampton,4,0
1.0,2.0,0,24.0,18.75,Southampton,5,0
0.0,1.0,1,64.0,263.0,Southampton,5,0
0.0,2.0,1,34.5,10.5,Southampton,0,1
1.0,2.0,0,22.25,26.25,Southampton,2,0
0.0,3.0,1,20.0,9.5,Southampton,0,1
0.0,3.0,1,25.0,7.775,Southampton,1,0
1.0,2.0,0,28.0,13.0,Southampton,0,1
1.0,3.0,1,30.75,8.1125,Southampton,0,1
1.0,1.0,1,4.0,81.8583,Southampton,2,0
1.0,2.0,0,13.0,19.5,Southampton,1,0
1.0,1.0,1,34.0,26.55,Southampton,0,1
1.0,3.0,0,5.0,19.2583,Cheltenham,3,0
1.0,1.0,1,41.25,30.5,Southampton,0,1
0.0,2.0,1,36.0,27.75,Southampton,3,0
0.0,3.0,1,19.25,19.9667,Southampton,1,0
0.0,1.0,1,30.0,27.75,Cheltenham,0,1
1.0,1.0,1,49.0,89.1042,Cheltenham,1,0
0.0,3.0,1,25.375,8.05,Southampton,0,1
1.0,3.0,1,29.0,7.8958,Cheltenham,0,1
0.0,1.0,1,56.25,26.55,Southampton,0,1
1.0,1.0,0,45.75,51.8625,Southampton,1,0
1.0,2.0,0,32.0,10.5,Southampton,0,1
0.0,3.0,1,43.5,7.75,Queenstown,0,1
1.0,1.0,1,41.5,26.55,Southampton,0,1
0.0,3.0,1,34.0,8.05,Southampton,0,1
0.0,1.0,1,47.0,38.5,Southampton,0,1
0.0,2.0,1,48.0,13.0,Southampton,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,3.0,1,38.0,7.05,Southampton,0,1
0.0,2.0,1,34.0,0.0,Southampton,0,1
0.0,1.0,1,56.0,26.55,Southampton,0,1
0.0,3.0,1,46.875,7.725,Queenstown,0,1
1.0,3.0,0,0.75,19.2583,Cheltenham,3,0
0.0,3.0,1,22.125,7.25,Southampton,0,1
0.0,3.0,1,38.0,8.6625,Southampton,0,1
1.0,2.0,0,32.75,27.75,Southampton,3,0
1.0,2.0,0,23.0,13.7917,Cheltenham,0,1
0.0,3.0,0,22.0,9.8375,Southampton,0,1
0.0,1.0,1,42.0,52.0,Southampton,0,1
0.0,2.0,1,22.25,21.0,Southampton,1,0
0.0,3.0,1,29.0,7.0458,Southampton,1,0
0.0,3.0,1,22.0,7.5208,Southampton,0,1
1.0,3.0,0,2.0,12.2875,Southampton,1,0
0.0,3.0,1,9.0,46.9,Southampton,7,0
0.0,2.0,1,34.0,0.0,Southampton,0,1
0.0,3.0,1,50.0,8.05,Southampton,0,1
1.0,3.0,0,63.0,9.5875,Southampton,0,1
1.0,1.0,1,25.0,91.0792,Cheltenham,1,0
0.0,3.0,0,28.0,25.4667,Southampton,4,0
1.0,1.0,0,41.0,90.0,Southampton,1,0
0.0,1.0,1,58.0,29.7,Cheltenham,0,1
0.0,3.0,1,30.0,8.05,Southampton,0,1
1.0,3.0,1,9.0,15.9,Southampton,2,0
0.0,3.0,1,19.25,19.9667,Southampton,1,0
0.0,3.0,1,21.0,7.25,Southampton,0,1
0.0,1.0,1,55.0,30.5,Southampton,0,1
0.0,1.0,1,41.5,49.5042,Cheltenham,0,1
0.0,3.0,1,21.0,8.05,Southampton,0,1
0.0,3.0,1,31.625,14.4583,Cheltenham,0,1
1.0,1.0,0,54.0,78.2667,Cheltenham,1,0
0.0,3.0,1,33.875,15.1,Southampton,0,1
0.0,1.0,0,25.0,151.55,Southampton,3,0
0.0,3.0,1,24.0,7.7958,Southampton,0,1
0.0,3.0,1,17.0,8.6625,Southampton,0,1
